system   D            wsystem.c:583  maybe_parent_dir                 [   0.00082] Also searching C:\Users\Bruno\Documents\GitHub\ImunoForce\Pacheco\
display  D   display_settings.c:506  _al_score_display_settings       [   0.17976] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17977] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17979] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17981] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17982] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17984] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17986] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17988] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17989] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17991] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17993] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17995] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17996] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17998] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18000] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18001] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18003] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18005] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18007] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18008] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18010] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18011] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18013] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18015] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18021] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18023] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18025] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18026] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18028] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18030] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18031] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18033] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18035] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18036] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18038] Single Buffer requirement not met.
