system   D            wsystem.c:583  maybe_parent_dir                 [   0.00079] Also searching C:\Users\Bruno\Documents\GitHub\ImunoForce\ImunoForceVS\
display  D   display_settings.c:377  _al_score_display_settings       [   0.03521] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03522] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03526] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03527] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03528] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03530] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03531] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03532] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03533] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03534] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03535] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03536] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03538] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.03540] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.03562] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.03567] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.04153] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.07187] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.07191] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.07194] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.07197] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.07200] Returning d3d_display: 00AB6378
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.07201] al_display=00AB6378
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.07202] al_display->vt=00B08F50
dtor     D               dtor.c:184  _al_register_destructor          [   0.07344] added dtor for object 00A82D80, func 5BCD24D2
dtor     D               dtor.c:184  _al_register_destructor          [   0.07347] added dtor for object 00B10458, func 5BCD27A7
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.07356] Failed loading Sprites/sperm_0S.png with .png handler.
